"(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,股)","(元,交易單位)","(元,交易單位)","(元,交易單位)","(元,交易單位)","(元,交易單位)"
證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2302,麗正,194753,121,3184076,16.45,16.45,16.3,16.4,-,0.05,16.35,18,16.40,4,18.22
2303,聯電,169502998,58757,11207197784,66.2,67.2,65.5,65.6,-,0.6,65.6,5528,65.70,38,19.07
2329,華泰,7111922,3261,188872292,26.5,26.95,26.0,26.9,+,0.4,26.9,85,26.95,149,30.92
2330,台積電,42383815,18681,25510152115,600.0,610.0,599.0,600.0,,0.0,600.0,1107,601.00,3,28.08
2337,旺宏,40103600,17017,1495706413,37.5,37.95,37.0,37.15,-,1.05,37.15,357,37.20,51,12.26
2338,光罩,11369481,4574,931672093,80.6,83.4,79.6,82.3,+,1.4,82.3,4,82.40,87,15.68
2342,茂矽,1436418,1060,63782430,43.8,45.1,43.5,45.0,+,0.9,44.95,3,45.00,12,13.12
2344,華邦電,73655967,26232,2053445372,28.4,28.65,27.6,27.7,-,1.0,27.7,3113,27.75,159,19.65
2351,順德,2492083,1802,311145571,125.0,129.0,120.0,127.5,+,3.0,127.0,69,127.50,28,36.22
2363,矽統,14169366,6137,380228123,26.9,27.1,26.45,27.0,+,0.2,26.95,93,27.00,86,
2369,菱生,21008863,9656,603947507,29.15,29.25,28.5,28.75,-,0.8,28.75,90,28.80,82,44.23
2379,瑞昱,2516020,2034,1312161553,519.0,530.0,513.0,524.0,+,6.0,523.0,1,524.00,75,21.42
2388,威盛,1599935,972,75452807,46.0,47.8,46.0,47.35,+,1.35,47.35,39,47.50,28,3.9
2401,凌陽,6399891,3487,239292229,37.1,37.8,36.8,37.8,+,0.8,37.75,2,37.80,15,24.55
2408,南亞科,9003620,2867,582148201,64.7,64.9,64.0,64.9,+,0.3,64.7,1,64.90,293,17.54
2434,統懋,10035,17,388172,38.8,38.8,38.5,38.5,-,1.2,38.5,1,39.10,1,58.33
2436,偉詮電,7640384,5582,605910596,78.5,80.5,77.9,80.5,+,0.6,80.4,19,80.50,22,20.28
2441,超豐,4000082,1701,337705924,84.2,85.0,83.2,85.0,+,0.8,84.9,4,85.00,400,13.71
2449,京元電子,5813399,2994,250739803,43.5,43.5,42.8,43.2,-,0.1,43.15,60,43.20,58,14.4
2451,創見,1411734,370,96114886,67.6,68.4,67.6,68.1,+,0.3,68.0,5,68.20,19,15.8
2454,聯發科,7362257,7460,6955190698,940.0,952.0,936.0,940.0,+,4.0,940.0,109,942.00,2,18.35
