Security Code,name,TradeVolume,Transaction,Trade Value,Open,High,Low,Close,Dir(+/-),Change_l,Last Best Bid Price,Last Best Bid Volume,Last Best Ask Price,Last Best Ask Volume,Price-Earning ratio
2302,麗正,159730,118,2571779,15.90,16.25,15.90,16.00,+,0.1,16.0,1,16.1,2,18.18
2303,聯電,146741680,69929,8086859522,54.60,55.90,54.60,55.40,+,0.9,55.4,948,55.5,120,13.48
2329,華泰,1959428,1065,46018703,23.40,23.60,23.35,23.50,+,0.25,23.45,110,23.5,17,17.54
2330,台積電,43786259,40026,27805114442,645.00,645.00,628.00,628.00,-,7.0,628.0,1426,629.0,42,28.42
2337,旺宏,25364092,12545,1061901777,41.25,42.20,41.05,42.10,+,1.1,42.05,141,42.1,39,8.29
2338,光罩,6142778,3636,618352323,99.80,102.00,99.60,101.50,+,1.0,101.5,17,102.0,400,15.47
2342,茂矽,2103555,1607,94633063,43.75,45.60,43.75,45.55,+,1.8,45.55,8,45.6,6,22.22
2344,華邦電,67238829,24224,2136928217,30.50,32.30,30.45,31.85,+,1.45,31.8,157,31.85,49,13.0
2351,順德,3543442,3638,559180907,156.00,160.00,155.00,156.50,+,2.5,156.5,27,157.0,15,36.31
2363,矽統,5254808,2237,121882653,22.95,23.50,22.85,23.35,+,0.55,23.3,62,23.35,33,129.72
2369,菱生,2634362,1159,64040762,24.10,24.50,24.05,24.45,+,0.45,24.4,21,24.45,94,16.86
2379,瑞昱,2432891,2455,1246026405,511.00,518.00,504.00,514.00,+,8.0,514.0,7,515.0,54,17.65
2388,威盛,4937877,3119,332383834,66.70,68.20,66.40,68.20,+,1.2,68.1,2,68.2,43,5.92
2401,凌陽,3797941,2880,135628193,35.20,36.15,35.20,35.80,+,0.05,35.8,19,35.85,6,21.18
2408,南亞科,11839771,7003,915489988,77.00,77.90,76.60,77.40,+,1.0,77.4,129,77.5,442,13.82
2434,統懋,21,1,701,--,--,--,--,,0.0,36.5,1,37.05,2,53.33
2436,偉詮電,4307441,3791,380235563,88.00,89.10,87.30,88.30,+,0.3,88.3,13,88.4,10,21.33
2441,超豐,2066629,1963,149458422,72.20,73.00,72.00,72.00,,0.0,72.0,94,72.1,9,9.81
2449,京元電子,13518402,6905,593857920,44.20,44.40,43.65,43.90,-,0.15,43.85,99,43.9,23,12.69
2451,創見,536923,430,38434351,70.90,72.00,70.40,71.40,+,1.0,71.4,30,71.5,9,13.27
2454,聯發科,9138912,7486,10074534000,1125.00,1125.00,1090.00,1095.00,-,5.0,1095.0,123,1100.0,55,18.13
